siteID,labno,starttime,endtime,amount,type
ME96,NR4370SW,2/28/1998 5:00:00 AM,3/1/1998 5:00:00 AM,0.00, 
ME96,NR4370SW,3/1/1998 5:00:00 AM,3/2/1998 5:00:00 AM,0.00, 
ME96,NR4370SW,3/2/1998 5:00:00 AM,3/3/1998 5:00:00 AM,0.00, 
ME96,NR4370SW,3/3/1998 5:00:00 AM,3/3/1998 2:10:00 PM,0.00, 
ME96,NR4694SW,3/3/1998 2:11:00 PM,3/4/1998 5:00:00 AM,0.00, 
ME96,NR4694SW,3/4/1998 5:00:00 AM,3/5/1998 5:00:00 AM,0.00, 
ME96,NR4694SW,3/5/1998 5:00:00 AM,3/6/1998 5:00:00 AM,0.00, 
ME96,NR4694SW,3/6/1998 5:00:00 AM,3/7/1998 5:00:00 AM,0.00, 
ME96,NR4694SW,3/7/1998 5:00:00 AM,3/8/1998 5:00:00 AM,0.05,s
ME96,NR4694SW,3/8/1998 5:00:00 AM,3/9/1998 5:00:00 AM,0.13, 
ME96,NR4694SW,3/9/1998 5:00:00 AM,3/10/1998 5:00:00 AM,-9.00, 
ME96,NR4694SW,3/10/1998 5:00:00 AM,3/11/1998 5:00:00 AM,-9.00, 
ME96,NR4694SW,3/11/1998 5:00:00 AM,3/11/1998 3:07:00 PM,-9.00, 
ME96,NR4824SW,3/11/1998 3:10:00 PM,3/12/1998 5:00:00 AM,0.00, 
ME96,NR4824SW,3/12/1998 5:00:00 AM,3/13/1998 5:00:00 AM,0.00, 
ME96,NR4824SW,3/13/1998 5:00:00 AM,3/14/1998 5:00:00 AM,0.00, 
ME96,NR4824SW,3/14/1998 5:00:00 AM,3/15/1998 5:00:00 AM,0.15,s
ME96,NR4824SW,3/15/1998 5:00:00 AM,3/16/1998 5:00:00 AM,0.00, 
ME96,NR4824SW,3/16/1998 5:00:00 AM,3/17/1998 5:00:00 AM,0.00, 
ME96,NR4824SW,3/17/1998 5:00:00 AM,3/17/1998 2:45:00 PM,0.00, 
